test_date,county,new_positives,total_number_of_tests,region_orig
2022-10-12,Bronx,309,4891,New York City
2022-10-11,Bronx,199,3622,New York City
2022-10-10,Bronx,163,2683,New York City
2022-10-09,Bronx,164,2908,New York City
2022-10-08,Bronx,221,4118,New York City
2022-10-07,Bronx,231,4119,New York City
2022-10-06,Bronx,224,5148,New York City
2022-10-05,Bronx,278,4738,New York City
2022-10-04,Bronx,230,4032,New York City
2022-10-03,Bronx,204,2913,New York City
2022-10-02,Bronx,142,2739,New York City
2022-10-01,Bronx,241,3850,New York City
2022-09-30,Bronx,306,4986,New York City
2022-09-29,Bronx,339,5232,New York City
2022-09-28,Bronx,336,5276,New York City
2022-09-27,Bronx,276,4316,New York City
2022-09-26,Bronx,172,2922,New York City
2022-09-25,Bronx,204,3324,New York City
2022-09-24,Bronx,249,4361,New York City
2022-09-23,Bronx,353,5804,New York City
2022-09-22,Bronx,370,5637,New York City
2022-09-21,Bronx,423,6003,New York City
2022-09-20,Bronx,331,4892,New York City
2022-09-19,Bronx,276,3090,New York City
2022-09-18,Bronx,237,3450,New York City
2022-09-17,Bronx,278,3923,New York City
2022-09-16,Bronx,482,6572,New York City
2022-09-15,Bronx,302,4368,New York City
2022-09-14,Bronx,246,4998,New York City
2022-09-13,Bronx,367,4880,New York City
2022-09-12,Bronx,198,2923,New York City
2022-09-11,Bronx,148,2826,New York City
2022-09-10,Bronx,325,4610,New York City
2022-09-09,Bronx,245,4036,New York City
2022-09-08,Bronx,282,4657,New York City
2022-09-07,Bronx,270,5033,New York City
2022-09-06,Bronx,200,2494,New York City
2022-09-05,Bronx,126,2064,New York City
2022-09-04,Bronx,210,2671,New York City
2022-09-03,Bronx,247,3695,New York City
2022-09-02,Bronx,342,4413,New York City
2022-09-01,Bronx,231,4062,New York City
2022-08-31,Bronx,358,5397,New York City
2022-08-30,Bronx,315,4494,New York City
2022-08-29,Bronx,258,3391,New York City
2022-08-28,Bronx,225,2783,New York City
2022-08-27,Bronx,326,4266,New York City
2022-08-26,Bronx,305,4830,New York City
2022-08-25,Bronx,354,4261,New York City
2022-08-24,Bronx,369,5566,New York City
2022-08-23,Bronx,347,4510,New York City
2022-08-22,Bronx,259,3008,New York City
2022-08-21,Bronx,257,3086,New York City
2022-08-20,Bronx,337,4668,New York City
2022-08-19,Bronx,414,5244,New York City
2022-08-18,Bronx,434,5411,New York City
2022-08-17,Bronx,448,5926,New York City
2022-08-16,Bronx,372,5090,New York City
2022-08-15,Bronx,332,4130,New York City
2022-08-14,Bronx,254,3267,New York City
2022-08-13,Bronx,388,5067,New York City
2022-08-12,Bronx,473,5728,New York City
2022-08-11,Bronx,513,6136,New York City
2022-08-10,Bronx,642,7316,New York City
2022-08-09,Bronx,477,5769,New York City
2022-08-08,Bronx,579,4925,New York City
2022-08-07,Bronx,289,3047,New York City
2022-08-06,Bronx,378,4809,New York City
2022-08-05,Bronx,528,6070,New York City
2022-08-04,Bronx,611,6598,New York City
2022-08-03,Bronx,738,8369,New York City
2022-08-02,Bronx,656,7304,New York City
2022-08-01,Bronx,411,3781,New York City
2022-07-31,Bronx,349,3200,New York City
2022-07-30,Bronx,520,5740,New York City
2022-07-29,Bronx,691,6858,New York City
2022-07-28,Bronx,635,6412,New York City
2022-07-27,Bronx,766,7799,New York City
2022-07-26,Bronx,622,6768,New York City
2022-07-25,Bronx,482,4046,New York City
2022-07-24,Bronx,483,3830,New York City
2022-07-23,Bronx,535,6197,New York City
2022-07-22,Bronx,655,6483,New York City
2022-07-21,Bronx,713,7291,New York City
2022-07-20,Bronx,756,7996,New York City
2022-07-19,Bronx,738,7899,New York City
2022-07-18,Bronx,563,4470,New York City
2022-07-17,Bronx,476,4186,New York City
2022-07-16,Bronx,603,6161,New York City
2022-07-15,Bronx,788,7940,New York City
2022-07-14,Bronx,732,8184,New York City
2022-07-13,Bronx,928,9533,New York City
2022-07-12,Bronx,620,6531,New York City
2022-07-11,Bronx,920,6483,New York City
2022-07-10,Bronx,422,3316,New York City
2022-07-09,Bronx,517,5399,New York City
2022-07-08,Bronx,667,7074,New York City
2022-07-07,Bronx,594,6166,New York City
2022-07-06,Bronx,712,6826,New York City
2022-07-05,Bronx,325,2828,New York City
2022-07-04,Bronx,379,3100,New York City
2022-07-03,Bronx,396,3442,New York City
2022-07-02,Bronx,464,5241,New York City
2022-07-01,Bronx,546,5622,New York City
2022-06-30,Bronx,609,6398,New York City
2022-06-29,Bronx,574,5722,New York City
2022-06-28,Bronx,437,5318,New York City
2022-06-27,Bronx,303,3243,New York City
2022-06-26,Bronx,299,3341,New York City
2022-06-25,Bronx,457,6115,New York City
2022-06-24,Bronx,483,7761,New York City
2022-06-23,Bronx,427,10262,New York City
2022-06-22,Bronx,529,10172,New York City
2022-06-21,Bronx,312,4077,New York City
2022-06-20,Bronx,303,3881,New York City
2022-06-19,Bronx,282,5043,New York City
2022-06-18,Bronx,392,9280,New York City
2022-06-17,Bronx,413,9260,New York City
2022-06-16,Bronx,409,9930,New York City
2022-06-15,Bronx,450,9930,New York City
2022-06-14,Bronx,401,8368,New York City
2022-06-13,Bronx,269,4834,New York City
2022-06-12,Bronx,332,5879,New York City
2022-06-11,Bronx,309,8469,New York City
2022-06-10,Bronx,443,8727,New York City
2022-06-09,Bronx,354,9733,New York City
2022-06-08,Bronx,467,10556,New York City
2022-06-07,Bronx,629,16391,New York City
2022-06-06,Bronx,346,4493,New York City
2022-06-05,Bronx,231,5995,New York City
2022-06-04,Bronx,449,12735,New York City
2022-06-03,Bronx,467,11697,New York City
2022-06-02,Bronx,559,12371,New York City
2022-06-01,Bronx,319,8947,New York City
2022-05-31,Bronx,355,4371,New York City
2022-05-30,Bronx,185,2671,New York City
2022-05-29,Bronx,248,5330,New York City
2022-05-28,Bronx,419,9861,New York City
2022-05-27,Bronx,447,10593,New York City
2022-05-26,Bronx,540,11992,New York City
2022-05-25,Bronx,549,11878,New York City
2022-05-24,Bronx,511,8891,New York City
2022-05-23,Bronx,346,4726,New York City
2022-05-22,Bronx,391,5519,New York City
2022-05-21,Bronx,482,11577,New York City
2022-05-20,Bronx,567,11759,New York City
2022-05-19,Bronx,481,10381,New York City
2022-05-18,Bronx,628,9775,New York City
2022-05-17,Bronx,517,10506,New York City
2022-05-16,Bronx,483,9278,New York City
2022-05-15,Bronx,311,5292,New York City
2022-05-14,Bronx,362,7510,New York City
2022-05-13,Bronx,410,7525,New York City
2022-05-12,Bronx,427,13555,New York City
2022-05-11,Bronx,669,15384,New York City
2022-05-10,Bronx,364,7084,New York City
2022-05-09,Bronx,207,3706,New York City
2022-05-08,Bronx,188,5199,New York City
2022-05-07,Bronx,382,8284,New York City
2022-05-06,Bronx,365,7762,New York City
2022-05-05,Bronx,520,14031,New York City
2022-05-04,Bronx,334,7405,New York City
2022-05-03,Bronx,235,5321,New York City
2022-05-02,Bronx,215,4265,New York City
2022-05-01,Bronx,183,5574,New York City
2022-04-30,Bronx,247,7119,New York City
2022-04-29,Bronx,286,7574,New York City
2022-04-28,Bronx,275,8597,New York City
2022-04-27,Bronx,298,8978,New York City
2022-04-26,Bronx,215,6978,New York City
2022-04-25,Bronx,188,4568,New York City
2022-04-24,Bronx,157,3996,New York City
