as_of_date,region,covid_hosp,covid_icu,covid_intube,yearid,covid_hosp_pop,date_num,Date
2020-03-26T04:00:00Z,New York City,4733,1084,956,2020,53.758,86,"3/26/20<br>Daily count: 4,733"
2020-03-26T04:00:00Z,Long Island,1082,303,263,2020,37.033,86,"3/26/20<br>Daily count: 1,082"
2020-03-26T04:00:00Z,Lower Hudson Valley,483,123,110,2020,22.595,86,3/26/20<br>Daily count: 483
2020-03-27T04:00:00Z,New York City,5256,1175,1078,2020,59.699,87,"3/27/20<br>Daily count: 5,256"
2020-03-27T04:00:00Z,Long Island,1310,345,299,2020,44.837,87,"3/27/20<br>Daily count: 1,310"
2020-03-27T04:00:00Z,Lower Hudson Valley,566,155,144,2020,26.477,87,3/27/20<br>Daily count: 566
2020-03-28T04:00:00Z,New York City,6002,1337,1157,2020,68.172,88,"3/28/20<br>Daily count: 6,002"
2020-03-28T04:00:00Z,Long Island,1557,393,341,2020,53.291,88,"3/28/20<br>Daily count: 1,557"
2020-03-28T04:00:00Z,Lower Hudson Valley,672,182,163,2020,31.436,88,3/28/20<br>Daily count: 672
2020-03-29T04:00:00Z,New York City,6631,1520,1318,2020,75.316,89,"3/29/20<br>Daily count: 6,631"
2020-03-29T04:00:00Z,Long Island,1768,447,397,2020,60.513,89,"3/29/20<br>Daily count: 1,768"
2020-03-29T04:00:00Z,Lower Hudson Valley,816,237,223,2020,38.172,89,3/29/20<br>Daily count: 816
2020-03-30T04:00:00Z,New York City,7630,1724,1483,2020,86.663,90,"3/30/20<br>Daily count: 7,630"
2020-03-30T04:00:00Z,Long Island,2020,534,478,2020,69.138,90,"3/30/20<br>Daily count: 2,020"
2020-03-30T04:00:00Z,Lower Hudson Valley,931,280,257,2020,43.552,90,3/30/20<br>Daily count: 931
2020-03-31T04:00:00Z,New York City,8403,1888,1648,2020,95.443,91,"3/31/20<br>Daily count: 8,403"
2020-03-31T04:00:00Z,Long Island,2368,640,546,2020,81.049,91,"3/31/20<br>Daily count: 2,368"
2020-03-31T04:00:00Z,Lower Hudson Valley,1036,302,294,2020,48.464,91,"3/31/20<br>Daily count: 1,036"
2020-04-01T04:00:00Z,New York City,9091,2124,1859,2020,103.258,92,"4/1/20<br>Daily count: 9,091"
2020-04-01T04:00:00Z,Long Island,2673,717,591,2020,91.488,92,"4/1/20<br>Daily count: 2,673"
2020-04-01T04:00:00Z,Lower Hudson Valley,1177,346,330,2020,55.06,92,"4/1/20<br>Daily count: 1,177"
2020-04-02T04:00:00Z,New York City,9681,2248,1960,2020,109.959,93,"4/2/20<br>Daily count: 9,681"
