as_of_date,region_orig,covid_hosp,yearid,covid_hosp_pop,date_num,Date
2020-03-26,Long Island,1082,2020,37.033,86,"3/26/20<br>Daily count: 1,082"
2020-03-26,Lower Hudson Valley,483,2020,22.595,86,3/26/20<br>Daily count: 483
2020-03-26,New York City,4733,2020,53.758,86,"3/26/20<br>Daily count: 4,733"
2020-03-27,Long Island,1310,2020,44.837,87,"3/27/20<br>Daily count: 1,310"
2020-03-27,Lower Hudson Valley,566,2020,26.477,87,3/27/20<br>Daily count: 566
2020-03-27,New York City,5256,2020,59.699,87,"3/27/20<br>Daily count: 5,256"
2020-03-28,Long Island,1557,2020,53.291,88,"3/28/20<br>Daily count: 1,557"
2020-03-28,Lower Hudson Valley,672,2020,31.436,88,3/28/20<br>Daily count: 672
2020-03-28,New York City,6002,2020,68.172,88,"3/28/20<br>Daily count: 6,002"
2020-03-29,Long Island,1768,2020,60.513,89,"3/29/20<br>Daily count: 1,768"
2020-03-29,Lower Hudson Valley,816,2020,38.172,89,3/29/20<br>Daily count: 816
2020-03-29,New York City,6631,2020,75.316,89,"3/29/20<br>Daily count: 6,631"
2020-03-30,Long Island,2020,2020,69.138,90,"3/30/20<br>Daily count: 2,020"
2020-03-30,Lower Hudson Valley,931,2020,43.552,90,3/30/20<br>Daily count: 931
2020-03-30,New York City,7630,2020,86.663,90,"3/30/20<br>Daily count: 7,630"
2020-03-31,Long Island,2368,2020,81.049,91,"3/31/20<br>Daily count: 2,368"
2020-03-31,Lower Hudson Valley,1036,2020,48.464,91,"3/31/20<br>Daily count: 1,036"
2020-03-31,New York City,8403,2020,95.443,91,"3/31/20<br>Daily count: 8,403"
2020-04-01,Long Island,2673,2020,91.488,92,"4/1/20<br>Daily count: 2,673"
2020-04-01,Lower Hudson Valley,1177,2020,55.06,92,"4/1/20<br>Daily count: 1,177"
2020-04-01,New York City,9091,2020,103.258,92,"4/1/20<br>Daily count: 9,091"
2020-04-02,Long Island,3295,2020,112.777,93,"4/2/20<br>Daily count: 3,295"
2020-04-02,Lower Hudson Valley,1292,2020,60.439,93,"4/2/20<br>Daily count: 1,292"
2020-04-02,New York City,9681,2020,109.959,93,"4/2/20<br>Daily count: 9,681"
2020-04-03,Long Island,3533,2020,120.923,94,"4/3/20<br>Daily count: 3,533"
2020-04-03,Lower Hudson Valley,1423,2020,66.568,94,"4/3/20<br>Daily count: 1,423"
2020-04-03,New York City,10370,2020,117.785,94,"4/3/20<br>Daily count: 10,370"
2020-04-04,Long Island,3632,2020,124.311,95,"4/4/20<br>Daily count: 3,632"
2020-04-04,Lower Hudson Valley,1501,2020,70.216,95,"4/4/20<br>Daily count: 1,501"
2020-04-04,New York City,10726,2020,121.828,95,"4/4/20<br>Daily count: 10,726"
2020-04-05,Long Island,3758,2020,128.624,96,"4/5/20<br>Daily count: 3,758"
2020-04-05,Lower Hudson Valley,1559,2020,72.93,96,"4/5/20<br>Daily count: 1,559"
2020-04-05,New York City,10843,2020,123.157,96,"4/5/20<br>Daily count: 10,843"
2020-04-06,Long Island,3886,2020,133.005,97,"4/6/20<br>Daily count: 3,886"
2020-04-06,Lower Hudson Valley,1601,2020,74.894,97,"4/6/20<br>Daily count: 1,601"
2020-04-06,New York City,11301,2020,128.359,97,"4/6/20<br>Daily count: 11,301"
2020-04-07,Long Island,3938,2020,134.785,98,"4/7/20<br>Daily count: 3,938"
2020-04-07,Lower Hudson Valley,1676,2020,78.403,98,"4/7/20<br>Daily count: 1,676"
2020-04-07,New York City,11741,2020,133.357,98,"4/7/20<br>Daily count: 11,741"
2020-04-08,Long Island,4020,2020,137.591,99,"4/8/20<br>Daily count: 4,020"
2020-04-08,Lower Hudson Valley,1702,2020,79.619,99,"4/8/20<br>Daily count: 1,702"
2020-04-08,New York City,11836,2020,134.436,99,"4/8/20<br>Daily count: 11,836"
2020-04-09,Long Island,4072,2020,139.371,100,"4/9/20<br>Daily count: 4,072"
2020-04-09,Lower Hudson Valley,1779,2020,83.221,100,"4/9/20<br>Daily count: 1,779"
2020-04-09,New York City,11962,2020,135.867,100,"4/9/20<br>Daily count: 11,962"
2020-04-10,Long Island,4108,2020,140.603,101,"4/10/20<br>Daily count: 4,108"
2020-04-10,Lower Hudson Valley,1769,2020,82.753,101,"4/10/20<br>Daily count: 1,769"
2020-04-10,New York City,12006,2020,136.367,101,"4/10/20<br>Daily count: 12,006"
2020-04-11,Long Island,4070,2020,139.303,102,"4/11/20<br>Daily count: 4,070"
2020-04-11,Lower Hudson Valley,1857,2020,86.87,102,"4/11/20<br>Daily count: 1,857"
2020-04-11,New York City,12026,2020,136.594,102,"4/11/20<br>Daily count: 12,026"
2020-04-12,Long Island,4059,2020,138.926,103,"4/12/20<br>Daily count: 4,059"
2020-04-12,Lower Hudson Valley,1815,2020,84.905,103,"4/12/20<br>Daily count: 1,815"
2020-04-12,New York City,12184,2020,138.389,103,"4/12/20<br>Daily count: 12,184"
2020-04-13,Long Island,4085,2020,139.816,104,"4/13/20<br>Daily count: 4,085"
2020-04-13,Lower Hudson Valley,1826,2020,85.42,104,"4/13/20<br>Daily count: 1,826"
2020-04-13,New York City,12006,2020,136.367,104,"4/13/20<br>Daily count: 12,006"
2020-04-14,Long Island,4049,2020,138.584,105,"4/14/20<br>Daily count: 4,049"
2020-04-14,Lower Hudson Valley,1800,2020,84.204,105,"4/14/20<br>Daily count: 1,800"
2020-04-14,New York City,11727,2020,133.198,105,"4/14/20<br>Daily count: 11,727"
2020-04-15,Long Island,3924,2020,134.306,106,"4/15/20<br>Daily count: 3,924"
2020-04-15,Lower Hudson Valley,1765,2020,82.566,106,"4/15/20<br>Daily count: 1,765"
2020-04-15,New York City,11277,2020,128.087,106,"4/15/20<br>Daily count: 11,277"
2020-04-16,Long Island,3766,2020,128.898,107,"4/16/20<br>Daily count: 3,766"
2020-04-16,Lower Hudson Valley,1752,2020,81.958,107,"4/16/20<br>Daily count: 1,752"
2020-04-16,New York City,11035,2020,125.338,107,"4/16/20<br>Daily count: 11,035"
2020-04-17,Long Island,3661,2020,125.304,108,"4/17/20<br>Daily count: 3,661"
2020-04-17,Lower Hudson Valley,1753,2020,82.005,108,"4/17/20<br>Daily count: 1,753"
2020-04-17,New York City,10812,2020,122.805,108,"4/17/20<br>Daily count: 10,812"
2020-04-18,Long Island,3484,2020,119.246,109,"4/18/20<br>Daily count: 3,484"
2020-04-18,Lower Hudson Valley,1704,2020,79.713,109,"4/18/20<br>Daily count: 1,704"
2020-04-18,New York City,10295,2020,116.933,109,"4/18/20<br>Daily count: 10,295"
2020-04-19,Long Island,3410,2020,116.713,110,"4/19/20<br>Daily count: 3,410"
2020-04-19,Lower Hudson Valley,1721,2020,80.508,110,"4/19/20<br>Daily count: 1,721"
2020-04-19,New York City,10237,2020,116.274,110,"4/19/20<br>Daily count: 10,237"
2020-04-20,Long Island,3400,2020,116.371,111,"4/20/20<br>Daily count: 3,400"
2020-04-20,Lower Hudson Valley,1683,2020,78.73,111,"4/20/20<br>Daily count: 1,683"
2020-04-20,New York City,10279,2020,116.751,111,"4/20/20<br>Daily count: 10,279"
2020-04-21,Long Island,3256,2020,111.442,112,"4/21/20<br>Daily count: 3,256"
2020-04-21,Lower Hudson Valley,1652,2020,77.28,112,"4/21/20<br>Daily count: 1,652"
2020-04-21,New York City,9928,2020,112.764,112,"4/21/20<br>Daily count: 9,928"
2020-04-22,Long Island,3118,2020,106.719,113,"4/22/20<br>Daily count: 3,118"
2020-04-22,Lower Hudson Valley,1584,2020,74.099,113,"4/22/20<br>Daily count: 1,584"
2020-04-22,New York City,9606,2020,109.107,113,"4/22/20<br>Daily count: 9,606"
2020-04-23,Long Island,2977,2020,101.893,114,"4/23/20<br>Daily count: 2,977"
2020-04-23,Lower Hudson Valley,1515,2020,70.871,114,"4/23/20<br>Daily count: 1,515"
2020-04-23,New York City,9070,2020,103.019,114,"4/23/20<br>Daily count: 9,070"
2020-04-24,Long Island,2765,2020,94.637,115,"4/24/20<br>Daily count: 2,765"
2020-04-24,Lower Hudson Valley,1444,2020,67.55,115,"4/24/20<br>Daily count: 1,444"
2020-04-24,New York City,8621,2020,97.919,115,"4/24/20<br>Daily count: 8,621"
2020-04-25,Long Island,2633,2020,90.119,116,"4/25/20<br>Daily count: 2,633"
2020-04-25,Lower Hudson Valley,1424,2020,66.614,116,"4/25/20<br>Daily count: 1,424"
2020-04-25,New York City,8114,2020,92.161,116,"4/25/20<br>Daily count: 8,114"
2020-04-26,Long Island,2559,2020,87.586,117,"4/26/20<br>Daily count: 2,559"
